"condition","Iteration","InSampleError","Error","Model"
0,11,0.34582930418343,0.311144922993593,"Homothetic Hyperbolic"
0,12,0.333231879540443,0.327670835790277,"Homothetic Hyperbolic"
0,13,0.337288363777962,0.323279838750941,"Homothetic Hyperbolic"
0,14,0.336991625720972,0.329048900624796,"Homothetic Hyperbolic"
0,15,0.329808939744686,0.330490324618497,"Homothetic Hyperbolic"
0,16,0.328309331097422,0.347852930880685,"Homothetic Hyperbolic"
0,17,0.33632513720652,0.314354889497861,"Homothetic Hyperbolic"
0,18,0.325515625149934,0.331759852911045,"Homothetic Hyperbolic"
0,19,0.339841326810599,0.317279766949507,"Homothetic Hyperbolic"
0,20,0.312258848031633,0.356265349528459,"Homothetic Hyperbolic"
0,21,0.32272552729869,0.347025538346688,"Homothetic Hyperbolic"
0,22,0.324257649627079,0.331776112344723,"Homothetic Hyperbolic"
0,23,0.343698208427249,0.305943788489538,"Homothetic Hyperbolic"
0,24,0.316982159712539,0.35131169680193,"Homothetic Hyperbolic"
0,25,0.326398963551312,0.326205649802631,"Homothetic Hyperbolic"
0,26,0.309577611160948,0.358899765620834,"Homothetic Hyperbolic"
0,27,0.336410475483869,0.321291702844876,"Homothetic Hyperbolic"
0,28,0.325297578462683,0.325896927351463,"Homothetic Hyperbolic"
0,29,0.334914179395766,0.329780441209587,"Homothetic Hyperbolic"
0,30,0.334970166287675,0.318949302981327,"Homothetic Hyperbolic"
0,31,0.345293001665505,0.306896708029586,"Homothetic Hyperbolic"
0,32,0.332413263035666,0.335117100469358,"Homothetic Hyperbolic"
0,33,0.336433002771757,0.321948520901016,"Homothetic Hyperbolic"
0,34,0.327982126964456,0.329574194965946,"Homothetic Hyperbolic"
0,35,0.311672488646883,0.343006725536908,"Homothetic Hyperbolic"
0,36,0.336284990310359,0.327159774487288,"Homothetic Hyperbolic"
0,37,0.322305402281703,0.336979066693941,"Homothetic Hyperbolic"
0,38,0.336516951417427,0.327051369106493,"Homothetic Hyperbolic"
0,39,0.335365041300952,0.324410938059029,"Homothetic Hyperbolic"
0,40,0.32643734597185,0.33702961841875,"Homothetic Hyperbolic"
